UBIGEO,n_ccpp,n_ipress_emergencia,A_raw,A_norm,total_atenciones,B_raw,B_norm,mean_dist_km,C_raw,C_norm_inverted,index,rank,group
140101,1,8,8.0,1.0,159446.0,159446.0,0.15050338959692963,3.5766536638882185,3.5766536638882185,0.9874821704434953,0.78136693262098,1,top
40126,1,1,1.0,0.125,1059418.0,1059418.0,1.0,0.7261133684745763,0.7261133684745763,0.9980522427619544,0.7802761213809772,2,top
150130,1,3,3.0,0.375,180997.0,180997.0,0.17084569074718384,0.4262568923781367,0.4262568923781367,0.9991641388620015,0.6360434921177966,3,top
150135,1,2,2.0,0.25,219593.0,219593.0,0.20727701436071502,0.3821963302757298,0.3821963302757298,0.9993275195826893,0.6139830133815234,4,top
150117,1,2,2.0,0.25,72001.0,72001.0,0.06796278711518966,0.7652215710281617,0.7652215710281617,0.9979072258576498,0.5784443097076223,5,top
150137,1,2,2.0,0.25,73321.0,73321.0,0.06920875424053584,0.9845512548944377,0.9845512548944377,0.997093930699612,0.57834915390994,6,top
130101,4,8,2.0,0.25,256097.0,64024.25,0.06043341721586758,2.5776562835190533,2.5776562835190533,0.9911865469693921,0.5732016277886629,7,top
130704,1,2,2.0,0.25,32115.0,32115.0,0.030313813810979237,2.955602909533655,2.955602909533655,0.9897850852268868,0.5649709960661882,8,top
240301,1,2,2.0,0.25,1343.0,1343.0,0.001267677158590849,4.664092019667121,4.664092019667121,0.9834498464377821,0.5545418425085388,9,top
200115,3,4,1.3333333333333333,0.16666666666666666,101829.0,33943.0,0.03203928949668591,3.646437995213784,3.646437995213784,0.9872234035599001,0.5432881908207882,10,top
160802,2,0,0.0,0.0,0.0,0.0,0.0,121.17991579178688,121.17991579178688,0.5513981804789889,0.27569909023949446,1803,bottom
170202,6,0,0.0,0.0,0.0,0.0,0.0,122.69501079640652,122.69501079640652,0.5457800652767824,0.2728900326383912,1804,bottom
160804,1,0,0.0,0.0,0.0,0.0,0.0,127.77555960955024,127.77555960955024,0.5269409110088026,0.2634704555044013,1805,bottom
160508,3,0,0.0,0.0,0.0,0.0,0.0,128.1554960570624,128.1554960570624,0.5255320708204764,0.2627660354102382,1806,bottom
160303,39,0,0.0,0.0,0.0,0.0,0.0,138.49805406208898,138.49805406208898,0.48718089008225607,0.24359044504112803,1807,bottom
160305,148,0,0.0,0.0,0.0,0.0,0.0,156.22053674615913,156.22053674615913,0.42146425245581753,0.21073212622790877,1808,bottom
160304,30,0,0.0,0.0,0.0,0.0,0.0,178.44316951236252,178.44316951236252,0.33906063380735996,0.16953031690367998,1809,bottom
250401,35,0,0.0,0.0,0.0,0.0,0.0,228.2750744703592,228.2750744703592,0.15427922937674177,0.07713961468837088,1810,bottom
160803,7,0,0.0,0.0,0.0,0.0,0.0,253.08838185606754,253.08838185606754,0.06226914485028112,0.03113457242514056,1811,bottom
160110,17,0,0.0,0.0,0.0,0.0,0.0,269.8811436469871,269.8811436469871,0.0,0.0,1812,bottom
